_date_,agri,volpal,dubai,cpi,expt,gdp,gov,impt,ind,libor3,nfia,nonagri,ofwremit,pce,serv,tbill91,tbillall,unemp
1993-01-01,43699,NA,15.96695614,60.533333333333336,59751,175701,14475,69970,58299,3.2736,2870,132002,177059.33333333334,132628,73703,13.333333333333334,14.133333333333332,8.3253661707904704
1993-04-01,38262,NA,15.96733284,61.166666666666664,60648,177248,14980,79623,60705,3.2719,3720,138986,200766.66666666664,143069,78281,10.866666666666666,11.633333333333332,11.283345349675558
1993-07-01,32478,NA,14.324313483333334,62.800000000000008,63424,175044,14426,85303,65126,3.2553,2715,142566,190172,143802,77440,10.9,11.333333333333334,8.5842193620593168
1993-10-01,52614,NA,13.3670969,63.9,72628,206163,14865,87652,67329,3.4175,3460,153549,190800.33333333336,159090,86220,14.700000000000002,15.5,8.86958466930132
1994-01-01,43353,2288317,12.84147676,67.5,69868,182112,15266,88176,62071,3.5822,4238,138759,196980.66666666664,137450,76688,15.1,15.466666666666668,8.6083638922843264
1994-04-01,40466,2090216,14.974289896666666,68.133333333333336,74671,185472,15822,94658,63384,4.4834,4918,145006,226101,148549,81622,14.766666666666666,15.133333333333332,11.051569350685504
1994-07-01,35620,1876635,15.882519719999998,69.166666666666672,78849,183936,15387,88224,67626,4.9701,5192,148316,293101.33333333332,148969,80690,11.266666666666666,12.166666666666666,9.7561865829622592
1994-10-01,51951,4282886,15.624122936666666,69.400000000000008,83817,214848,15868,98267,72891,5.9675,5420,162897,286732.66666666668,165138,90006,9.7666666666666672,11.1,8.430666230033112
1995-01-01,44467,2272045,16.404420213333332,71.2,72549,190873,16111,94493,66142,6.2923,4939,146406,262959.66666666668,143389,80264,11.700000000000002,12.466666666666666,8.780187552047504
1995-04-01,40045,2045286,17.04289691,72.333333333333344,81036,193439,16820,112428,67692,6.1193,3780,153394,311561,154434,85702,14.233333333333334,14.433333333333332,12.081752623124508
1995-07-01,37608,1785510,15.278399783333334,74.233333333333328,92758,194997,16395,106935,72477,5.8885,6945,157389,361311.33333333328,153749,84912,10.1,11.233333333333334,8.7826026152017344
1995-10-01,50728,4437808,15.786210060000002,75.166666666666672,97838,222915,16484,114619,77547,5.8589,6637,172187,353694,171413,94640,11,12.4,8.3523537803138368
1996-01-01,45425,2523794,16.54538377,77.333333333333328,84005,200770,16766,112391,70187,5.4062,9226,155345,382252.66666666672,149421,85158,12.766666666666666,13.433333333333332,8.2872355137602
1996-04-01,42938,2427116,17.25219663,78.333333333333328,92116,206169,17706,127186,72169,5.5177,9162,163231,358715.33333333332,161553,91062,12.9,13.5,10.923713085664052
1996-07-01,38885,2116498,18.942499796666668,79.266666666666672,109044,206844,16974,130678,77570,5.5948,9287,167959,386786,161074,90389,12.133333333333332,12.633333333333332,7.5462791246585968
1996-10-01,52203,4216160,21.412152606666668,79.9,112036,235338,17081,129939,82200,5.5342,7430,183135,307743,179742,100935,11.6,12.200000000000002,7.4062826871815632
